Region,Month,Year,State_Name,Wind,Solar,Biomass,Bagasse,Small Hydel,Others,RE Generation Total
NR,Jan,2023,NR<br>Jan-2023,471.84,3539.942719,130.437,694.923,225.703014,35.978,5098.823733
NR,Dec,2022,NR<br>Dec-2022,281.008721,3436.285302,134.366172,634.674626,281.787201,28.632,4796.754022
NR,Nov,2022,NR<br>Nov-2022,248.466095,3389.908304,100.134406,385.993,460.55365,36.227,4621.282455
NR,Oct,2022,NR<br>Oct-2022,243.51,3835.41,103.63,35.29,514.35,34.46,4766.65
NR,Sep,2022,NR<br>Sep-2022,488.82,3662.69,77.11,45.41,614.52,32.37,4920.92
NR,Aug,2022,NR<br>Aug-2022,548.23,3136.107,96.604461,54.315,592.606135,35.026,4462.888596
NR,Jul,2022,NR<br>Jul-2022,532.699487,3000.768729,100.824461,53.011,540.022935,35.145,4262.471612
NR,Jun,2022,NR<br>Jun-2022,1092.43859,3447.777329,108.959887,66.247576,371.3887071,27.07,5113.88209
NR,May,2022,NR<br>May-2022,1092.601015,3558.219765,113.041281,195.544,333.094376,26.38158,5318.882017
NR,Apr,2022,NR<br>Apr-2022,467.46,3208.06,121.92,470.39,361.55,34.26,4663.64
NR,Apr,2022,NR<br>Apr-2022,467.46,3208.061,121.917,470.391,361.549176,34.262,4663.640176
NR,Mar,2022,NR<br>Mar-2022,435.42,3103.76,117.81,632.78,262.22,23.15,4575.14
NR,Feb,2022,NR<br>Feb-2022,358.43,2487.94,101.85,555.68,194.08,20.27,3718.25
NR,Jan,2022,NR<br>Jan-2022,259.74,2132.67,106.59,630.13,145.54,30.26,3304.93
NR,Dec,2021,NR<br>Dec-2021,299.13,1713.71,103.39,748,167.7,30.23,3062.16
NR,Nov,2021,NR<br>Nov-2021,265.21,1813.98,91.12,362.376,290.72,34.76,2858.166
NR,Oct,2021,NR<br>Oct-2021,356.17,2060.13,92.31,26.52,433.22,27.88,2996.23
NR,Sep,2021,NR<br>Sep-2021,296.85,1609.75,75.23,23.88,676.98,24.67,2707.36
NR,Aug,2021,NR<br>Aug-2021,1003.52,1721.25,93.54,29.3,615.22,24.68,3487.51
NR,Jul,2021,NR<br>Jul-2021,1002.98,1542.88,102.73,28.03,575.53,16.89,3269.04
NR,Jun,2021,NR<br>Jun-2021,985.81,1533.09,107.73,44.42,320.37,15.46,3006.88
NR,May,2021,NR<br>May-2021,769.33,1505.37,111.07,195.94,308.38,16.38,2906.47
NR,Apr,2021,NR<br>Apr-2021,460.61,1529.68,108.69,432.4,174.22,13.01,2718.61
NR,Feb,2020,NR<br>Feb-2020,398.82,1151.6,120.51,636.74,240,19.68,2567.35
NR,Jan,2020,NR<br>Jan-2020,399.49,945.68,116.24,661.61,219.29,19.66,2361.97
NR,Dec,2019,NR<br>Dec-2019,410.93,877.17,152.9,678.91,229.97,22.22,2372.1
NR,Nov,2019,NR<br>Nov-2019,431.08,838.08,131.08,360.17,272.26,25.69,2058.36
NR,Oct,2019,NR<br>Oct-2019,210.25,988.51,84.71,14.94,365.93,27.66,1692
NR,Sep,2019,NR<br>Sep-2019,350.1,885.5,74.49,9.18,512.05,25.14,1856.46
NR,Aug,2019,NR<br>Aug-2019,622.76,808.39,78.98,6.98,484.56,23.59,2025.26
NR,Jul,2019,NR<br>Jul-2019,1152.64,796.44,82.94,56.01,444.23,25.16,2557.42
NR,Jun,2019,NR<br>Jun-2019,738.3,945.86,82.3,105.19,529.4,25.2,2426.25
NR,May,2019,NR<br>May-2019,602.58,958.05,94.77,291.09,443.51,24.81,2414.81
NR,Apr,2019,NR<br>Apr-2019,414.2,852.47,86.03,591.92,329.72,26.98,2301.32
ER,Feb,2023,ER<br>Feb-2023,0,99.11214701,7.647578,24.8,34.113052,121.9438091,287.6165861
ER,Jan,2023,ER<br>Jan-2023,0,88.93319372,7.737465,27.26033017,39.47283138,120.9916405,284.3954608
ER,Dec,2022,ER<br>Dec-2022,0,86.74448828,9.303261,25.096,39.813804,142.3359947,303.293548
ER,Nov,2022,ER<br>Nov-2022,0,90.586138,7.21455,10.53,55.292573,137.8647099,301.4879709
ER,Oct,2022,ER<br>Oct-2022,0,89.37,7.93,0,95.87,148.16,341.33
ER,Sep,2022,ER<br>Sep-2022,0,77.4,0.39,0,99.28,136.7,313.77
ER,Aug,2022,ER<br>Aug-2022,0,76.721882,0.027812,0,95.065871,137.380166,309.195731
ER,Jul,2022,ER<br>Jul-2022,0,75.35512,0.03389,0,84.07758,132.52,291.98659
ER,Jun,2022,ER<br>Jun-2022,0,79.60150792,3.345243,0,26.75426644,134.1584098,243.8594272
ER,May,2022,ER<br>May-2022,0,101.000075,6.713792,0,33.579748,139.0581024,280.3517174
ER,Apr,2022,ER<br>Apr-2022,0,92.36,7.18,0,29.99,140.57,270.1
